% 1. Title: Spiral
% 2. Sources:
%   (a) Creator: Hayden Parkinson
%   (b) Institution: BYU
%   (c) Date: May 2019
%

@RELATION XOR Spiral

@ATTRIBUTE attr1 Continuous
@ATTRIBUTE attr2 Continuous
@ATTRIBUTE class {0,1}

@DATA

0.0,0.0,1
-0.0,-0.0,1
0.0,0.0,0
-0.0,-0.0,0
0.005015109815736148,0.0003171137251893148,1
-0.005015109815736148,-0.0003171137251893148,1
0.0003171137251893148,0.005015109815736148,0
-0.0003171137251893148,-0.005015109815736148,0
0.009970204608977466,0.0012659266840976638,1
-0.009970204608977466,-0.0012659266840976638,1
0.0012659266840976638,0.009970204608977466,0
-0.0012659266840976638,-0.009970204608977466,0
0.014805668139421815,0.0028388693440660985,1
-0.014805668139421815,-0.0028388693440660985,1
0.0028388693440660985,0.014805668139421815,0
-0.0028388693440660985,-0.014805668139421815,0
0.019462679505497633,0.005023376128046399,1
-0.019462679505497633,-0.005023376128046399,1
0.005023376128046399,0.019462679505497633,0
-0.005023376128046399,-0.019462679505497633,0
0.02388360526099957,0.007801960599853488,1
-0.02388360526099957,-0.007801960599853488,1
0.007801960599853488,0.02388360526099957,0
-0.007801960599853488,-0.02388360526099957,0
0.028012384900333583,0.01115232016331297,1
-0.028012384900333583,-0.01115232016331297,1
0.01115232016331297,0.028012384900333583,0
-0.01115232016331297,-0.028012384900333583,0
0.03179490755488324,0.015047469718449584,1
-0.03179490755488324,-0.015047469718449584,1
0.015047469718449584,0.03179490755488324,0
-0.015047469718449584,-0.03179490755488324,0
0.03517937778808417,0.019455903563531204,1
-0.03517937778808417,-0.019455903563531204,1
0.019455903563531204,0.03517937778808417,0
-0.019455903563531204,-0.03517937778808417,0
0.0381166684327244,0.024341784680997975,1
-0.0381166684327244,-0.024341784680997975,1
0.024341784680997975,0.0381166684327244,0
-0.024341784680997975,-0.0381166684327244,0
0.04056065848050178,0.029665160398820525,1
-0.04056065848050178,-0.029665160398820525,1
0.029665160398820525,0.04056065848050178,0
-0.029665160398820525,-0.04056065848050178,0
0.0424685541106416,0.03538220327737779,1
-0.0424685541106416,-0.03538220327737779,1
0.03538220327737779,0.0424685541106416,0
-0.03538220327737779,-0.0424685541106416,0
